Linha,Coluna,Temperatura_C
0,0,22.92
0,1,24.28
0,2,23.49
0,3,23.53
0,4,23.06
0,5,23.42
0,6,23.01
0,7,23.14
0,8,22.79
0,9,23.08
0,10,23.04
0,11,23.14
0,12,22.63
0,13,22.95
0,14,22.95
0,15,23.13
0,16,23.07
0,17,24.14
0,18,23.95
0,19,24.75
0,20,24.15
0,21,25.37
0,22,25.81
0,23,26.73
0,24,26.41
0,25,27.30
0,26,27.17
0,27,27.68
0,28,26.60
0,29,27.79
0,30,26.80
0,31,23.71
1,0,23.80
1,1,23.35
1,2,24.69
1,3,23.24
1,4,23.11
1,5,23.17
1,6,23.57
1,7,22.93
1,8,23.06
1,9,23.20
1,10,23.03
1,11,22.82
1,12,23.26
1,13,23.21
1,14,22.87
1,15,23.02
1,16,23.15
1,17,23.58
1,18,23.96
1,19,24.07
1,20,24.47
1,21,24.59
1,22,25.78
1,23,26.26
1,24,26.33
1,25,26.84
1,26,27.72
1,27,27.06
1,28,27.59
1,29,27.36
1,30,27.91
1,31,23.80
2,0,23.47
2,1,23.88
2,2,23.24
2,3,23.65
2,4,22.80
2,5,23.48
2,6,23.27
2,7,23.18
2,8,23.07
2,9,23.35
2,10,23.13
2,11,23.23
2,12,22.95
2,13,23.16
2,14,22.98
2,15,23.08
2,16,22.93
2,17,23.39
2,18,23.81
2,19,24.68
2,20,24.46
2,21,24.69
2,22,24.58
2,23,25.93
2,24,25.98
2,25,27.03
2,26,27.12
2,27,27.40
2,28,27.13
2,29,27.36
2,30,27.59
2,31,23.76
3,0,23.82
3,1,23.36
3,2,23.42
3,3,22.96
3,4,23.51
3,5,23.08
3,6,23.41
3,7,23.20
3,8,23.30
3,9,22.91
3,10,23.25
3,11,22.98
3,12,23.25
3,13,23.21
3,14,23.16
3,15,22.76
3,16,22.96
3,17,23.36
3,18,23.83
3,19,24.43
3,20,24.65
3,21,24.34
3,22,24.79
3,23,25.56
3,24,26.50
3,25,26.59
3,26,26.78
3,27,27.21
3,28,27.19
3,29,27.45
3,30,28.23
3,31,23.82
4,0,23.77
4,1,23.79
4,2,23.05
4,3,23.43
4,4,23.03
4,5,23.24
4,6,22.83
4,7,23.36
4,8,23.14
4,9,23.42
4,10,23.12
4,11,23.24
4,12,23.02
4,13,23.35
4,14,22.90
4,15,22.86
4,16,22.90
4,17,23.28
4,18,23.39
4,19,24.20
4,20,24.04
4,21,24.00
4,22,23.70
4,23,24.81
4,24,25.35
4,25,26.49
4,26,26.60
4,27,26.99
4,28,26.80
4,29,27.79
4,30,27.54
4,31,23.47
5,0,23.88
5,1,23.01
5,2,23.94
5,3,23.14
5,4,23.23
5,5,23.29
5,6,23.30
5,7,23.30
5,8,22.98
5,9,23.07
5,10,23.11
5,11,23.02
5,12,23.02
5,13,22.98
5,14,23.51
5,15,23.19
5,16,22.80
5,17,22.98
5,18,23.36
5,19,23.88
5,20,23.98
5,21,23.63
5,22,24.20
5,23,24.88
5,24,25.30
5,25,26.41
5,26,26.92
5,27,26.71
5,28,27.31
5,29,27.41
5,30,27.65
5,31,23.93
6,0,23.76
6,1,23.90
6,2,23.04
6,3,23.06
6,4,22.90
6,5,23.30
6,6,23.24
6,7,23.97
6,8,23.39
6,9,23.56
6,10,22.95
6,11,23.57
6,12,23.19
6,13,23.40
6,14,23.20
6,15,23.08
6,16,22.92
6,17,23.10
6,18,23.14
6,19,23.58
6,20,23.32
6,21,23.67
6,22,23.59
6,23,24.32
6,24,24.57
6,25,26.07
6,26,26.39
6,27,26.86
6,28,27.13
6,29,27.44
6,30,27.47
6,31,23.74
7,0,23.56
7,1,23.63
7,2,23.49
7,3,23.02
7,4,23.08
7,5,23.41
7,6,23.75
7,7,23.71
7,8,23.42
7,9,23.23
7,10,23.48
7,11,23.11
7,12,23.19
7,13,23.10
7,14,23.07
7,15,23.11
7,16,23.11
7,17,22.92
7,18,23.06
7,19,23.28
7,20,23.52
7,21,23.27
7,22,23.73
7,23,23.70
7,24,24.49
7,25,26.20
7,26,26.44
7,27,26.75
7,28,26.92
7,29,27.67
7,30,27.67
7,31,23.75
8,0,23.37
8,1,23.68
8,2,23.12
8,3,23.10
8,4,23.07
8,5,23.45
8,6,22.90
8,7,23.25
8,8,23.16
8,9,23.33
8,10,23.03
8,11,23.38
8,12,22.95
8,13,23.49
8,14,22.99
8,15,23.26
8,16,22.84
8,17,23.22
8,18,22.92
8,19,22.89
8,20,23.06
8,21,23.64
8,22,23.41
8,23,23.54
8,24,23.76
8,25,25.66
8,26,26.08
8,27,26.86
8,28,26.50
8,29,27.01
8,30,27.21
8,31,23.64
9,0,23.61
9,1,23.62
9,2,23.42
9,3,23.09
9,4,22.93
9,5,23.02
9,6,23.06
9,7,22.94
9,8,23.06
9,9,23.25
9,10,23.07
9,11,22.87
9,12,23.16
9,13,23.30
9,14,23.30
9,15,22.96
9,16,23.32
9,17,22.97
9,18,23.18
9,19,22.99
9,20,23.22
9,21,23.50
9,22,23.49
9,23,23.43
9,24,23.73
9,25,25.61
9,26,25.88
9,27,26.42
9,28,26.84
9,29,26.62
9,30,27.44
9,31,23.48
10,0,23.03
10,1,23.47
10,2,22.93
10,3,22.98
10,4,22.93
10,5,23.22
10,6,23.44
10,7,23.14
10,8,23.00
10,9,23.30
10,10,22.91
10,11,23.32
10,12,23.09
10,13,23.25
10,14,23.27
10,15,23.18
10,16,22.97
10,17,23.25
10,18,22.95
10,19,23.27
10,20,22.96
10,21,23.38
10,22,23.32
10,23,23.39
10,24,23.55
10,25,24.80
10,26,24.86
10,27,25.50
10,28,25.33
10,29,26.16
10,30,25.74
10,31,23.60
11,0,23.57
11,1,23.51
11,2,23.18
11,3,22.91
11,4,23.11
11,5,22.93
11,6,22.78
11,7,23.06
11,8,22.96
11,9,23.24
11,10,23.24
11,11,23.01
11,12,23.23
11,13,23.26
11,14,23.26
11,15,23.17
11,16,23.15
11,17,22.87
11,18,23.35
11,19,22.86
11,20,23.16
11,21,23.29
11,22,23.44
11,23,23.27
11,24,23.57
11,25,23.63
11,26,23.99
11,27,23.85
11,28,24.15
11,29,24.32
11,30,24.95
11,31,23.74
12,0,23.45
12,1,23.67
12,2,22.72
12,3,23.13
12,4,22.89
12,5,23.42
12,6,23.29
12,7,23.22
12,8,22.98
12,9,23.40
12,10,23.15
12,11,23.20
12,12,23.16
12,13,23.09
12,14,23.17
12,15,23.00
12,16,23.21
12,17,23.07
12,18,22.77
12,19,22.93
12,20,22.93
12,21,23.24
12,22,23.25
12,23,23.37
12,24,23.33
12,25,23.43
12,26,23.64
12,27,23.87
12,28,23.39
12,29,24.25
12,30,24.25
12,31,23.35
13,0,23.88
13,1,23.33
13,2,23.41
13,3,22.80
13,4,22.88
13,5,23.29
13,6,23.29
13,7,23.11
13,8,22.75
13,9,23.10
13,10,23.18
13,11,23.01
13,12,23.24
13,13,23.31
13,14,23.29
13,15,22.85
13,16,23.17
13,17,22.85
13,18,23.16
13,19,22.86
13,20,22.92
13,21,23.16
13,22,23.49
13,23,23.26
13,24,23.23
13,25,23.48
13,26,24.01
13,27,23.60
13,28,23.47
13,29,23.73
13,30,23.95
13,31,23.96
14,0,23.53
14,1,23.71
14,2,22.56
14,3,23.55
14,4,23.14
14,5,23.20
14,6,23.23
14,7,23.16
14,8,23.06
14,9,23.21
14,10,23.03
14,11,23.11
14,12,22.93
14,13,23.08
14,14,23.10
14,15,22.91
14,16,22.97
14,17,23.23
14,18,22.76
14,19,23.03
14,20,23.01
14,21,22.94
14,22,23.07
14,23,23.50
14,24,23.25
14,25,23.48
14,26,23.37
14,27,23.72
14,28,23.66
14,29,24.08
14,30,23.83
14,31,23.37
15,0,23.53
15,1,23.28
15,2,23.44
15,3,22.79
15,4,22.95
15,5,23.18
15,6,23.38
15,7,23.02
15,8,23.29
15,9,23.33
15,10,23.39
15,11,23.08
15,12,23.23
15,13,22.95
15,14,23.35
15,15,23.15
15,16,23.39
15,17,23.22
15,18,23.10
15,19,22.69
15,20,22.96
15,21,22.82
15,22,23.30
15,23,23.05
15,24,23.14
15,25,23.51
15,26,23.90
15,27,23.45
15,28,23.80
15,29,23.62
15,30,24.23
15,31,24.17
16,0,23.21
16,1,23.87
16,2,23.46
16,3,23.35
16,4,22.91
16,5,23.39
16,6,23.24
16,7,23.10
16,8,22.96
16,9,23.09
16,10,23.17
16,11,23.24
16,12,23.05
16,13,23.21
16,14,23.14
16,15,22.93
16,16,23.01
16,17,23.10
16,18,23.18
16,19,23.06
16,20,22.99
16,21,23.04
16,22,22.99
16,23,23.44
16,24,22.90
16,25,23.17
16,26,23.21
16,27,23.39
16,28,23.32
16,29,23.48
16,30,23.67
16,31,23.47
17,0,23.74
17,1,23.48
17,2,23.29
17,3,23.13
17,4,23.21
17,5,23.30
17,6,23.33
17,7,22.97
17,8,23.38
17,9,23.31
17,10,23.34
17,11,23.19
17,12,23.03
17,13,23.23
17,14,23.34
17,15,23.10
17,16,23.14
17,17,23.24
17,18,23.29
17,19,23.18
17,20,22.68
17,21,22.96
17,22,23.37
17,23,22.79
17,24,23.06
17,25,23.07
17,26,23.44
17,27,23.21
17,28,23.04
17,29,23.32
17,30,23.91
17,31,24.11
18,0,23.59
18,1,23.95
18,2,23.75
18,3,23.86
18,4,23.17
18,5,23.32
18,6,23.50
18,7,23.34
18,8,23.13
18,9,23.52
18,10,23.20
18,11,23.69
18,12,23.37
18,13,23.93
18,14,23.77
18,15,23.60
18,16,23.43
18,17,23.56
18,18,23.19
18,19,23.42
18,20,23.25
18,21,23.83
18,22,23.21
18,23,23.30
18,24,22.87
18,25,23.64
18,26,23.30
18,27,23.74
18,28,23.01
18,29,23.57
18,30,23.41
18,31,23.96
19,0,23.50
19,1,23.46
19,2,23.79
19,3,23.15
19,4,23.57
19,5,23.52
19,6,23.69
19,7,23.17
19,8,23.46
19,9,23.48
19,10,24.12
19,11,23.84
19,12,24.08
19,13,24.34
19,14,24.13
19,15,23.85
19,16,24.13
19,17,23.63
19,18,23.69
19,19,23.10
19,20,23.28
19,21,23.30
19,22,23.61
19,23,23.01
19,24,23.08
19,25,23.49
19,26,23.33
19,27,22.75
19,28,23.51
19,29,23.12
19,30,23.83
19,31,23.83
20,0,23.56
20,1,24.17
20,2,23.58
20,3,23.56
20,4,23.33
20,5,24.38
20,6,24.00
20,7,24.58
20,8,24.49
20,9,25.15
20,10,24.90
20,11,25.21
20,12,24.61
20,13,25.00
20,14,24.62
20,15,24.61
20,16,24.67
20,17,24.79
20,18,24.04
20,19,23.85
20,20,23.01
20,21,23.59
20,22,23.22
20,23,23.70
20,24,22.98
20,25,23.25
20,26,23.40
20,27,23.49
20,28,22.90
20,29,23.46
20,30,23.36
20,31,23.67
21,0,23.81
21,1,23.64
21,2,24.07
21,3,23.77
21,4,24.20
21,5,24.40
21,6,24.52
21,7,24.94
21,8,25.11
21,9,24.97
21,10,25.21
21,11,24.76
21,12,24.81
21,13,24.52
21,14,24.55
21,15,24.06
21,16,24.56
21,17,24.39
21,18,24.63
21,19,23.53
21,20,23.36
21,21,23.53
21,22,23.66
21,23,23.52
21,24,23.57
21,25,23.21
21,26,23.58
21,27,23.36
21,28,23.29
21,29,23.52
21,30,23.52
21,31,24.09
22,0,23.49
22,1,24.31
