Linha,Coluna,Temperatura_C
0,0,22.28
0,1,23.85
0,2,23.64
0,3,23.41
0,4,22.94
0,5,23.26
0,6,23.15
0,7,22.80
0,8,22.58
0,9,22.99
0,10,22.94
0,11,23.02
0,12,22.77
0,13,23.21
0,14,22.57
0,15,22.74
0,16,22.95
0,17,23.64
0,18,23.83
0,19,23.86
0,20,24.05
0,21,25.16
0,22,25.33
0,23,25.95
0,24,25.78
0,25,26.50
0,26,26.71
0,27,26.87
0,28,26.53
0,29,26.89
0,30,25.83
0,31,24.26
1,0,23.92
1,1,23.49
1,2,23.68
1,3,23.28
1,4,22.97
1,5,23.00
1,6,23.39
1,7,23.00
1,8,23.12
1,9,23.10
1,10,23.19
1,11,23.32
1,12,23.00
1,13,22.95
1,14,23.11
1,15,23.00
1,16,22.77
1,17,23.32
1,18,23.96
1,19,24.31
1,20,24.09
1,21,24.64
1,22,25.28
1,23,25.48
1,24,26.00
1,25,26.54
1,26,26.76
1,27,26.61
1,28,26.96
1,29,27.19
1,30,26.44
1,31,23.61
2,0,23.64
2,1,23.43
2,2,23.47
2,3,23.32
2,4,22.91
2,5,23.41
2,6,23.06
2,7,23.20
2,8,22.94
2,9,23.20
2,10,22.62
2,11,22.83
2,12,23.23
2,13,23.20
2,14,22.92
2,15,22.78
2,16,22.75
2,17,23.22
2,18,23.18
2,19,24.16
2,20,24.18
2,21,24.31
2,22,24.46
2,23,25.56
2,24,25.76
2,25,26.54
2,26,25.88
2,27,26.60
2,28,27.01
2,29,26.92
2,30,26.96
2,31,23.73
3,0,23.57
3,1,23.41
3,2,23.62
3,3,23.07
3,4,23.31
3,5,23.28
3,6,23.31
3,7,23.19
3,8,23.28
3,9,23.00
3,10,23.20
3,11,23.24
3,12,22.95
3,13,22.91
3,14,23.19
3,15,22.79
3,16,22.54
3,17,22.95
3,18,23.53
3,19,24.14
3,20,24.13
3,21,24.08
3,22,24.53
3,23,25.44
3,24,25.73
3,25,26.11
3,26,26.44
3,27,26.58
3,28,26.56
3,29,26.45
3,30,27.03
3,31,23.92
4,0,23.49
4,1,23.48
4,2,23.20
4,3,23.22
4,4,22.81
4,5,22.86
4,6,23.09
4,7,23.20
4,8,23.19
4,9,23.23
4,10,22.81
4,11,23.23
4,12,22.80
4,13,23.43
4,14,23.09
4,15,22.85
4,16,22.87
4,17,22.85
4,18,23.40
4,19,24.10
4,20,23.84
4,21,24.29
4,22,23.89
4,23,24.67
4,24,25.09
4,25,26.13
4,26,26.25
4,27,26.21
4,28,26.47
4,29,27.33
4,30,26.19
4,31,23.73
5,0,23.59
5,1,23.50
5,2,23.77
5,3,23.19
5,4,23.27
5,5,23.04
5,6,23.29
5,7,23.37
5,8,23.13
5,9,23.09
5,10,23.23
5,11,23.21
5,12,23.10
5,13,22.75
5,14,22.97
5,15,22.75
5,16,23.06
5,17,22.97
5,18,23.45
5,19,23.77
5,20,23.77
5,21,23.79
5,22,24.02
5,23,24.84
5,24,25.28
5,25,25.64
5,26,26.29
5,27,26.51
5,28,26.23
5,29,26.60
5,30,26.49
5,31,23.63
6,0,23.94
6,1,23.72
6,2,23.12
6,3,23.21
6,4,23.40
6,5,23.14
6,6,23.19
6,7,23.55
6,8,23.71
6,9,23.23
6,10,23.12
6,11,23.13
6,12,23.13
6,13,23.24
6,14,23.04
6,15,23.02
6,16,23.05
6,17,23.05
6,18,22.90
6,19,23.65
6,20,23.50
6,21,23.78
6,22,23.28
6,23,24.03
6,24,24.40
6,25,25.82
6,26,25.76
6,27,26.08
6,28,26.07
6,29,27.46
6,30,26.67
6,31,24.09
7,0,23.57
7,1,23.58
7,2,23.70
7,3,23.29
7,4,23.19
7,5,23.13
7,6,23.23
7,7,23.83
7,8,23.20
7,9,23.00
7,10,23.14
7,11,23.05
7,12,23.12
7,13,23.02
7,14,23.29
7,15,22.85
7,16,23.22
7,17,22.77
7,18,23.20
7,19,23.14
7,20,23.38
7,21,23.27
7,22,23.42
7,23,23.75
7,24,24.31
7,25,25.69
7,26,26.06
7,27,26.26
7,28,26.43
7,29,26.23
7,30,26.87
7,31,25.99
8,0,24.13
8,1,23.19
8,2,23.18
8,3,23.20
8,4,22.92
8,5,22.81
8,6,22.81
8,7,23.02
8,8,22.92
8,9,23.09
8,10,22.96
8,11,23.02
8,12,22.85
8,13,23.12
8,14,23.33
8,15,23.07
8,16,22.83
