Linha,Coluna,Temperatura_C
0,0,23.32
0,1,23.68
0,2,23.70
0,3,23.68
0,4,23.22
0,5,23.39
0,6,23.14
0,7,22.67
0,8,22.89
0,9,22.62
0,10,22.85
0,11,23.08
0,12,22.83
0,13,22.63
0,14,23.02
0,15,22.69
0,16,22.89
0,17,23.82
0,18,24.02
0,19,23.78
0,20,24.50
0,21,25.33
0,22,26.20
0,23,26.40
0,24,26.53
0,25,27.11
0,26,26.99
0,27,27.31
0,28,27.36
0,29,27.60
0,30,27.60
0,31,24.11
1,0,23.86
1,1,23.74
1,2,24.12
1,3,23.22
1,4,23.09
1,5,22.99
1,6,23.23
1,7,22.88
1,8,23.01
1,9,22.88
1,10,22.84
1,11,23.01
1,12,23.07
1,13,22.90
1,14,23.06
1,15,23.08
1,16,22.84
1,17,23.65
1,18,23.90
1,19,24.39
1,20,24.28
1,21,24.96
1,22,25.17
1,23,26.07
1,24,26.44
1,25,26.98
1,26,27.03
1,27,27.05
1,28,27.22
1,29,27.63
1,30,27.44
1,31,23.83
2,0,23.48
2,1,23.52
2,2,23.74
2,3,23.30
2,4,23.21
2,5,23.30
2,6,23.09
2,7,23.00
2,8,23.01
2,9,22.79
2,10,23.07
2,11,23.04
2,12,22.88
2,13,23.08
2,14,23.25
2,15,23.00
2,16,22.86
2,17,23.44
2,18,23.74
2,19,24.14
2,20,24.39
2,21,24.50
2,22,24.65
2,23,25.74
2,24,25.93
2,25,27.14
2,26,26.63
2,27,27.05
2,28,27.12
2,29,27.55
2,30,27.80
2,31,23.57
3,0,23.44
3,1,23.00
3,2,23.23
3,3,23.38
3,4,23.03
3,5,23.31
3,6,23.35
3,7,22.89
3,8,22.74
3,9,23.09
3,10,22.94
3,11,23.35
3,12,23.06
3,13,23.24
3,14,23.08
3,15,22.80
3,16,22.77
3,17,23.18
3,18,23.53
3,19,24.25
3,20,24.23
3,21,24.41
3,22,24.35
3,23,25.89
3,24,26.18
3,25,26.84
3,26,26.74
3,27,27.19
3,28,27.16
3,29,27.46
3,30,27.66
3,31,24.00
4,0,23.41
4,1,23.76
4,2,23.34
4,3,23.10
4,4,22.98
4,5,23.18
4,6,22.90
4,7,23.29
4,8,22.95
4,9,23.23
4,10,22.82
4,11,22.94
4,12,23.36
4,13,23.16
4,14,23.13
4,15,22.88
4,16,22.92
4,17,22.98
4,18,23.20
4,19,24.01
4,20,23.97
4,21,24.04
4,22,23.87
4,23,24.87
4,24,25.29
4,25,26.31
4,26,26.83
4,27,26.80
4,28,27.53
4,29,27.42
4,30,27.36
4,31,24.00
5,0,23.86
5,1,23.63
5,2,23.60
5,3,23.37
5,4,23.17
5,5,22.98
5,6,23.24
5,7,23.24
5,8,23.02
5,9,22.89
5,10,23.03
5,11,22.73
5,12,23.14
5,13,23.10
5,14,22.92
5,15,22.90
5,16,22.81
5,17,22.90
5,18,23.06
5,19,23.69
5,20,23.90
5,21,23.79
5,22,23.89
5,23,24.57
5,24,25.24
5,25,26.35
5,26,26.32
5,27,27.11
5,28,26.82
5,29,27.39
5,30,27.28
5,31,23.39
6,0,23.24
6,1,23.56
6,2,23.43
6,3,23.39
6,4,23.10
6,5,22.99
6,6,23.17
6,7,23.56
6,8,23.41
6,9,23.16
6,10,23.06
6,11,22.99
6,12,23.20
6,13,23.21
6,14,23.30
6,15,23.18
6,16,22.93
6,17,22.71
6,18,23.05
6,19,23.30
6,20,23.24
6,21,23.37
6,22,23.40
6,23,24.01
6,24,24.96
6,25,26.14
6,26,26.60
6,27,26.67
6,28,27.09
6,29,27.58
6,30,27.29
6,31,23.88
7,0,23.37
7,1,23.44
7,2,23.16
7,3,23.09
7,4,23.14
7,5,23.11
7,6,23.33
7,7,23.63
7,8,23.65
7,9,23.25
7,10,23.09
7,11,23.03
7,12,23.00
7,13,23.10
7,14,23.07
7,15,23.12
7,16,22.83
7,17,22.73
7,18,22.87
7,19,23.39
7,20,23.23
7,21,23.19
7,22,23.43
7,23,23.86
7,24,24.41
7,25,26.01
7,26,26.25
7,27,26.57
7,28,27.01
7,29,27.32
7,30,27.15
7,31,23.56
8,0,23.96
8,1,23.35
8,2,23.35
8,3,22.66
8,4,23.49
8,5,23.26
8,6,23.16
8,7,22.96
8,8,23.07
8,9,23.25
8,10,23.13
8,11,23.10
8,12,23.13
8,13,22.94
8,14,23.16
8,15,22.80
8,16,23.01
8,17,22.76
8,18,22.83
8,19,22.89
8,20,23.16
8,21,23.45
8,22,23.44
8,23,23.46
8,24,23.79
8,25,25.71
8,26,26.02
8,27,26.41
8,28,26.72
8,29,26.98
8,30,27.19
8,31,23.61
9,0,23.42
9,1,23.58
9,2,23.09
9,3,23.15
9,4,23.10
9,5,23.06
9,6,22.98
9,7,23.16
9,8,22.87
9,9,23.17
9,10,23.07
9,11,22.96
9,12,23.06
9,13,23.12
9,14,23.20
9,15,23.05
9,16,23.04
9,17,23.06
9,18,22.81
9,19,22.90
9,20,23.13
9,21,23.32
9,22,23.09
9,23,23.24
9,24,23.54
9,25,25.30
9,26,25.69
9,27,26.24
9,28,26.52
9,29,26.89
9,30,27.09
9,31,23.76
10,0,23.61
10,1,23.41
10,2,23.15
10,3,23.04
10,4,22.98
10,5,23.03
10,6,23.25
10,7,23.06
10,8,23.21
10,9,23.02
10,10,22.91
10,11,23.14
10,12,22.91
10,13,23.06
10,14,22.99
10,15,23.08
10,16,22.95
10,17,22.80
10,18,22.94
10,19,22.89
10,20,22.87
10,21,23.19
10,22,23.24
10,23,23.42
10,24,23.47
10,25,24.37
10,26,25.03
10,27,25.18
10,28,25.41
10,29,26.27
10,30,26.02
10,31,23.57
11,0,23.38
11,1,23.18
11,2,23.26
11,3,23.08
11,4,23.16
11,5,22.96
11,6,23.02
11,7,22.97
11,8,22.96
11,9,23.15
11,10,22.95
11,11,23.18
11,12,23.04
11,13,23.34
11,14,23.07
11,15,23.07
11,16,23.05
11,17,22.95
11,18,22.81
11,19,22.95
11,20,23.16
11,21,23.21
11,22,23.35
11,23,23.40
11,24,23.17
11,25,23.68
11,26,24.04
11,27,24.06
11,28,23.82
11,29,24.44
11,30,24.45
11,31,23.70
12,0,23.56
12,1,23.21
12,2,23.06
12,3,23.06
12,4,22.70
12,5,23.13
12,6,23.11
12,7,23.03
12,8,22.89
12,9,23.03
12,10,23.06
12,11,23.28
12,12,23.15
12,13,23.08
12,14,22.99
12,15,23.08
12,16,23.11
12,17,23.24
12,18,22.94
12,19,23.02
12,20,23.02
12,21,23.05
12,22,22.97
12,23,22.97
12,24,23.35
12,25,23.48
12,26,23.57
12,27,23.68
12,28,23.74
12,29,23.60
12,30,23.75
12,31,23.93
13,0,23.54
13,1,23.41
13,2,22.70
13,3,22.85
13,4,23.03
13,5,23.10
13,6,22.89
13,7,22.92
13,8,22.95
13,9,23.10
13,10,22.99
13,11,23.00
13,12,23.14
13,13,23.12
13,14,23.28
13,15,23.10
13,16,22.98
13,17,22.93
13,18,22.88
13,19,22.67
13,20,22.92
13,21,23.08
13,22,23.30
13,23,23.18
13,24,23.25
13,25,23.41
13,26,23.57
13,27,23.55
13,28,23.42
13,29,23.85
13,30,24.22
13,31,23.92
14,0,23.64
14,1,23.24
14,2,23.30
14,3,23.00
14,4,22.72
14,5,23.23
14,6,23.26
14,7,23.08
14,8,23.26
14,9,22.92
14,10,23.13
14,11,23.27
14,12,23.10
14,13,23.43
14,14,23.01
14,15,22.90
14,16,23.21
14,17,23.04
14,18,23.03
14,19,22.74
14,20,23.01
14,21,22.95
14,22,22.89
14,23,23.10
14,24,23.17
14,25,23.29
14,26,23.43
14,27,23.79
14,28,23.47
14,29,23.74
14,30,23.64
14,31,23.80
15,0,23.79
15,1,23.64
15,2,23.25
15,3,23.09
15,4,22.87
15,5,23.32
15,6,23.29
15,7,22.84
15,8,23.10
15,9,23.14
15,10,22.92
15,11,22.89
15,12,22.95
15,13,22.85
15,14,22.98
15,15,22.87
15,16,23.03
15,17,23.03
15,18,23.01
15,19,22.87
15,20,22.86
15,21,22.84
15,22,23.00
15,23,23.08
15,24,22.73
15,25,23.56
15,26,23.59
15,27,23.53
15,28,23.20
15,29,23.58
15,30,23.72
15,31,23.82
16,0,23.49
16,1,23.26
16,2,23.13
16,3,23.16
16,4,23.09
16,5,22.97
16,6,23.17
16,7,23.01
16,8,23.07
16,9,23.10
16,10,23.18
16,11,23.05
16,12,22.68
16,13,22.93
16,14,22.95
16,15,23.02
16,16,23.00
16,17,23.18
16,18,22.99
16,19,22.97
16,20,22.90
16,21,22.95
16,22,23.02
16,23,22.93
16,24,23.16
16,25,23.22
16,26,23.15
16,27,23.07
16,28,22.99
16,29,23.45
16,30,23.64
16,31,23.92
17,0,23.86
17,1,23.29
17,2,23.65
17,3,23.32
17,4,23.27
17,5,23.34
17,6,22.80
17,7,23.09
17,8,23.19
17,9,23.22
17,10,22.96
17,11,23.10
17,12,23.03
17,13,23.05
17,14,23.24
17,15,23.19
17,16,22.86
17,17,23.24
17,18,23.01
17,19,22.99
17,20,22.98
17,21,22.88
17,22,22.97
17,23,23.05
17,24,22.75
17,25,23.01
17,26,23.38
17,27,23.16
17,28,23.41
17,29,23.45
17,30,23.71
17,31,23.92
18,0,23.40
18,1,23.76
18,2,23.70
18,3,23.55
18,4,23.49
