Linha,Coluna,Temperatura_C
0,0,24.08
0,1,24.67
0,2,24.60
0,3,24.54
0,4,24.66
0,5,24.17
0,6,23.92
0,7,24.25
0,8,24.50
0,9,24.40
0,10,24.31
0,11,24.39
0,12,24.40
0,13,24.13
0,14,24.31
0,15,24.57
0,16,24.80
0,17,24.67
0,18,24.50
0,19,24.58
0,20,24.73
0,21,24.43
0,22,24.45
0,23,24.32
0,24,24.61
0,25,24.26
0,26,24.01
0,27,24.39
0,28,24.74
0,29,24.55
0,30,24.46
0,31,23.97
1,0,24.63
1,1,24.42
1,2,24.97
1,3,24.35
1,4,23.68
1,5,24.17
1,6,23.96
1,7,24.30
1,8,23.96
1,9,24.46
1,10,24.27
1,11,24.45
1,12,24.65
1,13,24.69
1,14,24.39
1,15,24.42
1,16,24.40
1,17,24.44
1,18,24.80
1,19,24.55
1,20,24.53
1,21,24.45
1,22,24.37
1,23,24.58
1,24,24.31
1,25,24.67
1,26,24.31
1,27,24.64
1,28,24.36
1,29,24.49
1,30,24.67
1,31,24.55
2,0,24.88
2,1,24.15
2,2,24.37
2,3,24.21
2,4,24.54
2,5,24.40
2,6,24.10
2,7,24.70
2,8,24.57
2,9,24.39
2,10,24.25
2,11,24.26
2,12,24.82
2,13,24.18
2,14,24.92
2,15,24.65
2,16,24.95
2,17,24.46
2,18,24.76
2,19,24.60
2,20,24.45
2,21,24.59
2,22,24.40
2,23,24.55
2,24,24.60
2,25,24.50
2,26,24.46
2,27,24.68
2,28,24.68
2,29,24.35
2,30,24.90
2,31,24.51
3,0,24.07
3,1,24.63
3,2,24.35
3,3,24.67
3,4,24.27
3,5,24.33
3,6,24.51
3,7,24.63
3,8,24.65
3,9,24.44
3,10,24.38
3,11,24.20
3,12,24.83
3,13,24.43
3,14,24.81
3,15,24.64
3,16,24.58
3,17,24.75
3,18,24.58
3,19,24.91
3,20,24.88
3,21,24.87
3,22,24.68
3,23,24.73
3,24,24.37
3,25,24.50
3,26,24.38
3,27,24.68
3,28,24.72
3,29,24.64
3,30,24.88
3,31,24.86
4,0,24.36
4,1,24.60
4,2,24.80
4,3,24.65
4,4,24.87
4,5,24.57
4,6,24.76
4,7,24.58
4,8,24.66
4,9,24.46
4,10,24.36
4,11,24.37
4,12,24.79
4,13,24.95
4,14,24.76
4,15,24.92
4,16,24.99
4,17,24.69
4,18,24.95
4,19,25.00
4,20,24.97
4,21,24.83
4,22,24.79
4,23,24.64
4,24,24.73
4,25,24.80
4,26,24.34
4,27,24.85
4,28,24.88
4,29,24.81
4,30,24.40
4,31,24.48
5,0,24.54
5,1,24.68
5,2,24.50
5,3,24.72
5,4,24.68
5,5,24.59
5,6,24.52
5,7,24.36
5,8,24.56
5,9,24.59
5,10,24.53
5,11,24.42
5,12,24.63
5,13,24.72
5,14,25.06
5,15,24.86
5,16,25.05
5,17,24.84
5,18,24.72
5,19,24.92
5,20,24.83
5,21,24.84
5,22,24.97
5,23,25.09
5,24,25.03
5,25,24.75
5,26,24.84
5,27,24.64
5,28,24.76
5,29,24.90
5,30,25.14
5,31,24.81
6,0,24.36
6,1,24.46
6,2,24.32
6,3,24.54
6,4,24.73
6,5,24.35
6,6,24.63
6,7,24.64
6,8,24.76
6,9,24.97
6,10,24.56
6,11,24.51
6,12,24.66
6,13,25.19
6,14,25.01
6,15,25.21
6,16,25.36
6,17,25.18
6,18,25.65
6,19,25.43
6,20,25.50
6,21,25.09
6,22,24.96
6,23,25.05
6,24,24.99
6,25,25.02
6,26,24.76
6,27,24.69
6,28,24.80
6,29,24.92
6,30,25.05
6,31,24.90
7,0,24.64
7,1,24.41
7,2,24.77
7,3,24.54
7,4,24.53
7,5,24.51
7,6,24.38
7,7,24.78
7,8,24.70
7,9,24.76
7,10,24.71
7,11,24.61
7,12,24.94
7,13,25.05
7,14,25.42
7,15,25.13
7,16,25.62
7,17,25.94
7,18,26.09
7,19,25.87
7,20,25.47
7,21,25.34
7,22,25.18
7,23,25.04
7,24,25.15
7,25,24.81
7,26,25.16
7,27,25.01
7,28,24.73
7,29,25.16
7,30,25.17
7,31,24.95
8,0,24.59
8,1,24.45
8,2,24.88
8,3,24.12
8,4,24.61
8,5,24.65
8,6,24.86
8,7,24.80
8,8,25.07
8,9,24.81
8,10,24.64
8,11,25.11
8,12,25.07
8,13,26.46
8,14,25.33
8,15,26.36
8,16,28.38
8,17,28.88
8,18,29.40
8,19,28.53
8,20,26.29
8,21,26.07
8,22,25.34
8,23,25.58
8,24,25.33
8,25,25.16
8,26,25.09
8,27,25.29
8,28,25.27
8,29,24.75
8,30,24.70
8,31,24.85
9,0,24.63
9,1,24.53
9,2,24.68
9,3,24.53
9,4,24.69
9,5,24.38
9,6,24.76
9,7,25.05
9,8,24.93
9,9,25.10
9,10,25.13
9,11,24.85
9,12,26.76
9,13,24.97
9,14,27.49
9,15,26.29
9,16,29.81
9,17,31.17
9,18,31.23
9,19,30.44
9,20,27.25
9,21,26.19
9,22,26.39
9,23,25.61
9,24,25.40
9,25,25.67
9,26,25.17
9,27,25.44
9,28,25.11
9,29,25.12
9,30,24.66
9,31,25.09
10,0,24.74
10,1,24.52
10,2,24.85
10,3,24.39
10,4,24.81
10,5,24.82
10,6,25.12
10,7,24.95
10,8,26.03
10,9,25.16
10,10,26.49
10,11,26.70
10,12,26.41
10,13,28.87
10,14,26.22
10,15,27.94
10,16,30.06
10,17,30.55
10,18,31.44
10,19,30.64
10,20,28.74
10,21,29.04
10,22,27.35
10,23,28.13
10,24,28.08
10,25,26.02
10,26,26.54
10,27,25.75
10,28,25.35
10,29,25.07
10,30,25.08
10,31,24.69
11,0,25.01
11,1,24.60
11,2,24.77
11,3,24.62
11,4,24.72
11,5,24.41
11,6,24.94
11,7,25.77
11,8,25.34
11,9,27.66
11,10,27.53
11,11,28.90
11,12,28.91
11,13,28.64
11,14,28.01
11,15,28.08
11,16,29.28
11,17,30.47
11,18,30.44
11,19,29.79
11,20,29.56
11,21,29.44
11,22,29.63
11,23,29.53
11,24,28.04
11,25,29.74
11,26,26.09
11,27,26.80
11,28,25.29
11,29,25.36
11,30,25.12
11,31,24.98
12,0,24.50
12,1,24.29
12,2,24.47
12,3,24.64
12,4,24.77
12,5,24.80
12,6,25.78
12,7,25.79
12,8,29.54
12,9,28.83
12,10,30.62
12,11,29.46
12,12,30.42
12,13,26.68
12,14,31.04
12,15,28.16
12,16,32.48
12,17,32.28
12,18,32.62
12,19,32.51
12,20,31.35
12,21,28.84
12,22,30.03
12,23,28.63
12,24,30.46
12,25,30.07
12,26,29.01
12,27,27.35
12,28,25.78
12,29,25.53
12,30,25.13
12,31,25.66
13,0,24.73
13,1,24.74
13,2,24.69
13,3,24.56
13,4,24.80
13,5,25.03
13,6,25.67
13,7,26.31
13,8,29.26
13,9,30.08
13,10,29.83
13,11,30.87
13,12,25.50
13,13,27.44
13,14,26.26
13,15,30.60
13,16,32.27
13,17,32.33
13,18,32.67
13,19,32.62
13,20,28.86
13,21,29.53
13,22,26.98
13,23,29.61
13,24,29.48
13,25,30.22
13,26,29.72
13,27,27.47
13,28,26.17
13,29,25.36
13,30,25.69
13,31,25.36
14,0,24.88
14,1,24.51
14,2,24.41
14,3,24.91
14,4,24.63
14,5,25.10
14,6,25.30
14,7,27.80
14,8,27.47
14,9,30.34
14,10,30.39
14,11,27.97
14,12,29.83
14,13,26.82
14,14,28.64
14,15,26.56
14,16,31.77
14,17,32.06
14,18,32.44
14,19,31.76
14,20,29.51
14,21,27.88
14,22,30.03
14,23,28.07
14,24,30.00
14,25,30.08
14,26,27.03
14,27,29.68
14,28,25.80
14,29,25.79
14,30,25.14
14,31,25.30
15,0,24.78
15,1,24.99
15,2,25.24
15,3,25.15
15,4,24.87
15,5,25.05
15,6,26.71
15,7,25.60
15,8,30.06
15,9,27.25
15,10,29.69
15,11,30.38
15,12,28.95
15,13,30.04
15,14,29.09
15,15,29.87
15,16,31.70
15,17,32.26
15,18,32.56
15,19,31.74
15,20,29.40
15,21,30.45
15,22,29.60
15,23,30.64
15,24,29.95
15,25,28.99
15,26,29.52
15,27,26.28
15,28,26.45
15,29,25.44
15,30,25.64
15,31,25.23
16,0,24.82
16,1,25.21
16,2,25.17
16,3,25.50
16,4,25.25
16,5,25.58
16,6,25.40
16,7,26.69
16,8,25.67
16,9,28.16
16,10,27.67
16,11,30.20
16,12,31.25
16,13,30.24
16,14,30.19
16,15,30.29
16,16,31.66
16,17,31.76
16,18,31.44
16,19,30.69
16,20,30.80
16,21,30.64
16,22,31.62
16,23,30.67
16,24,28.08
16,25,29.41
16,26,25.67
16,27,27.45
16,28,25.39
16,29,25.99
16,30,25.41
16,31,25.61
17,0,25.57
17,1,24.99
17,2,25.69
17,3,25.39
17,4,25.44
17,5,25.32
17,6,25.82
17,7,25.40
17,8,26.77
17,9,25.73
17,10,28.60
17,11,27.47
17,12,30.53
17,13,30.94
17,14,29.87
17,15,30.24
17,16,30.70
17,17,30.63
17,18,30.80
17,19,30.55
17,20,30.39
17,21,31.37
17,22,31.18
17,23,30.45
17,24,28.89
17,25,26.54
17,26,27.19
17,27,25.40
17,28,25.51
17,29,25.20
17,30,25.30
17,31,25.39
18,0,25.65
18,1,24.89
18,2,25.21
18,3,25.20
18,4,24.97
18,5,24.85
18,6,24.62
18,7,25.20
18,8,25.28
18,9,25.44
18,10,25.75
18,11,26.49
