Linha,Coluna,Temperatura_C
0,0,23.89
0,1,23.68
0,2,23.68
0,3,23.51
0,4,23.03
0,5,23.07
0,6,23.12
0,7,23.10
0,8,22.87
0,9,23.03
0,10,22.70
0,11,23.21
0,12,22.55
0,13,22.76
0,14,23.01
0,15,22.94
0,16,22.87
0,17,23.56
0,18,23.87
0,19,24.30
0,20,24.22
0,21,25.05
0,22,25.33
0,23,26.39
0,24,26.52
0,25,26.44
0,26,27.31
0,27,27.49
0,28,27.15
0,29,27.33
0,30,26.59
0,31,24.10
1,0,23.61
1,1,23.92
1,2,23.74
1,3,23.20
1,4,22.92
1,5,23.28
1,6,23.23
1,7,23.15
1,8,23.15
1,9,23.00
1,10,22.84
1,11,23.12
1,12,23.07
1,13,22.88
1,14,22.55
1,15,23.19
1,16,22.59
1,17,23.38
1,18,23.77
1,19,23.99
1,20,24.15
1,21,24.94
1,22,25.59
1,23,26.20
1,24,26.44
1,25,27.13
1,26,27.03
1,27,27.22
1,28,27.59
1,29,27.16
1,30,27.17
1,31,23.83
2,0,23.27
2,1,23.34
2,2,23.55
2,3,23.30
2,4,23.05
2,5,23.01
2,6,23.21
2,7,23.25
2,8,22.87
2,9,22.91
2,10,23.30
2,11,23.27
2,12,22.87
2,13,23.08
2,14,23.01
2,15,23.00
2,16,22.62
2,17,23.20
2,18,23.61
2,19,24.25
2,20,23.90
2,21,24.37
2,22,24.51
2,23,25.74
2,24,26.33
2,25,26.69
2,26,27.07
2,27,27.37
2,28,27.10
2,29,27.55
2,30,27.78
2,31,23.35
3,0,23.82
3,1,23.16
3,2,23.39
3,3,22.91
3,4,23.03
3,5,22.74
3,6,22.94
3,7,22.75
3,8,23.11
3,9,22.95
3,10,22.82
3,11,23.00
3,12,22.95
3,13,22.90
3,14,23.19
3,15,23.12
3,16,22.88
3,17,23.16
3,18,23.42
3,19,24.23
3,20,24.23
3,21,24.14
3,22,24.23
3,23,25.62
3,24,26.18
3,25,26.69
3,26,26.74
3,27,27.02
3,28,27.33
3,29,27.63
3,30,27.48
3,31,24.00
4,0,23.74
4,1,23.43
4,2,23.16
4,3,23.38
4,4,22.97
4,5,22.79
4,6,22.89
4,7,23.29
4,8,23.05
4,9,23.23
4,10,23.14
4,11,23.05
4,12,23.13
4,13,23.06
4,14,22.91
4,15,23.09
4,16,22.80
4,17,22.87
4,18,23.51
4,19,24.01
4,20,24.06
4,21,24.27
4,22,23.97
4,23,25.11
4,24,25.53
4,25,26.31
4,26,26.68
4,27,27.25
4,28,26.75
4,29,27.77
4,30,27.52
4,31,23.45
5,0,23.86
5,1,23.61
5,2,23.44
5,3,23.49
5,4,23.17
5,5,23.09
5,6,22.86
5,7,22.99
5,8,23.13
5,9,22.76
5,10,23.14
5,11,23.13
5,12,23.14
5,13,23.09
5,14,23.12
5,15,23.19
5,16,22.71
5,17,23.09
5,18,23.37
5,19,23.57
5,20,23.58
5,21,23.43
5,22,24.12
5,23,24.56
5,24,25.60
5,25,26.47
5,26,26.86
5,27,26.95
5,28,27.12
5,29,27.38
5,30,27.46
5,31,23.56
6,0,23.39
6,1,23.56
6,2,22.98
6,3,23.52
6,4,23.21
6,5,22.98
6,6,23.15
6,7,23.45
6,8,23.40
6,9,23.16
6,10,22.95
6,11,22.99
6,12,23.09
6,13,23.21
6,14,23.00
6,15,22.89
6,16,22.91
6,17,23.00
6,18,22.94
6,19,23.49
6,20,23.53
6,21,23.48
6,22,23.17
6,23,24.24
6,24,24.72
6,25,26.01
6,26,26.45
6,27,26.67
6,28,26.79
6,29,27.58
6,30,27.27
6,31,23.53
7,0,23.37
7,1,23.42
7,2,23.30
7,3,23.21
7,4,23.39
7,5,23.21
7,6,23.10
7,7,23.19
7,8,23.54
7,9,23.13
7,10,23.29
7,11,23.11
7,12,23.19
7,13,23.08
7,14,23.17
7,15,22.91
7,16,22.83
7,17,22.91
7,18,23.16
7,19,23.28
7,20,23.23
7,21,23.28
7,22,23.54
7,23,23.73
7,24,24.41
7,25,26.00
7,26,26.51
7,27,26.69
7,28,26.73
7,29,26.83
7,30,27.32
7,31,23.56
8,0,23.33
8,1,23.35
8,2,23.06
8,3,22.78
8,4,22.99
8,5,23.15
8,6,23.03
8,7,23.16
8,8,22.85
8,9,23.05
8,10,23.02
8,11,23.10
8,12,22.93
8,13,23.21
8,14,23.05
8,15,22.98
8,16,22.91
8,17,23.03
8,18,22.72
8,19,23.08
8,20,22.86
8,21,23.14
8,22,23.21
8,23,23.57
8,24,24.00
8,25,25.59
8,26,26.25
8,27,26.80
8,28,26.43
8,29,26.98
8,30,26.85
8,31,23.60
9,0,23.57
9,1,23.70
9,2,23.23
9,3,22.77
9,4,23.10
9,5,23.05
9,6,23.09
9,7,22.94
9,8,22.67
9,9,22.96
9,10,23.07
9,11,22.76
9,12,23.33
9,13,23.19
9,14,23.29
9,15,23.12
9,16,23.04
9,17,22.86
9,18,22.90
9,19,22.98
9,20,23.03
9,21,23.20
9,22,23.20
9,23,23.45
9,24,23.54
9,25,25.41
9,26,25.69
9,27,26.48
9,28,26.78
9,29,26.88
9,30,27.09
9,31,23.29
10,0,23.44
10,1,23.14
10,2,23.13
10,3,22.79
10,4,22.85
10,5,23.03
10,6,23.02
10,7,23.15
10,8,23.00
10,9,23.02
10,10,22.81
10,11,23.13
10,12,22.98
10,13,22.97
10,14,22.98
10,15,23.17
10,16,22.94
10,17,22.97
10,18,22.84
10,19,23.08
10,20,22.95
10,21,23.19
10,22,23.12
10,23,23.31
10,24,23.35
10,25,24.72
10,26,24.78
10,27,25.70
10,28,25.40
10,29,25.97
10,30,26.01
10,31,23.55
11,0,23.38
11,1,23.44
11,2,22.86
11,3,23.07
11,4,23.04
11,5,22.94
11,6,23.02
11,7,23.05
11,8,23.25
11,9,23.13
11,10,23.04
11,11,22.99
11,12,22.95
11,13,23.06
11,14,22.98
11,15,23.14
11,16,23.14
11,17,22.94
11,18,22.98
11,19,22.75
11,20,23.06
11,21,22.99
11,22,23.15
11,23,23.28
11,24,23.17
11,25,23.54
11,26,23.80
11,27,23.91
11,28,24.09
11,29,24.58
11,30,24.45
11,31,23.70
12,0,23.40
12,1,23.48
12,2,22.91
12,3,22.94
12,4,22.80
12,5,23.02
12,6,23.20
12,7,23.22
12,8,22.98
12,9,23.12
12,10,22.86
12,11,23.01
12,12,23.05
12,13,22.99
12,14,22.88
12,15,23.34
12,16,22.84
12,17,23.15
12,18,22.75
12,19,22.92
12,20,22.82
12,21,23.25
12,22,23.05
12,23,23.17
12,24,23.23
12,25,23.24
12,26,23.68
12,27,23.68
12,28,23.18
12,29,23.91
12,30,24.20
12,31,23.91
13,0,23.54
13,1,23.13
13,2,23.09
13,3,23.07
13,4,23.03
13,5,22.87
13,6,23.21
13,7,22.91
13,8,22.94
13,9,23.08
13,10,23.17
13,11,22.99
13,12,23.05
13,13,22.93
13,14,22.93
13,15,23.09
13,16,23.07
13,17,23.00
13,18,22.97
13,19,22.66
13,20,22.82
13,21,22.96
13,22,22.90
13,23,23.16
13,24,23.03
13,25,23.40
13,26,23.45
13,27,23.40
13,28,23.69
13,29,23.98
13,30,23.91
13,31,23.92
14,0,23.77
14,1,23.52
14,2,23.15
14,3,22.88
14,4,22.94
14,5,23.12
14,6,23.14
14,7,22.97
14,8,22.86
14,9,23.02
14,10,23.02
14,11,23.09
14,12,22.82
14,13,23.07
14,14,23.17
14,15,22.99
14,16,22.94
14,17,23.13
14,18,22.74
14,19,22.93
14,20,23.00
14,21,23.05
14,22,22.97
14,23,23.20
14,24,23.05
14,25,23.28
14,26,23.17
14,27,23.26
14,28,23.32
14,29,23.43
14,30,23.63
14,31,23.94
15,0,23.94
15,1,23.35
15,2,23.12
15,3,22.95
15,4,23.11
15,5,23.09
15,6,23.08
15,7,23.13
15,8,23.10
15,9,23.13
15,10,23.10
15,11,23.06
15,12,23.04
15,13,23.11
15,14,22.89
15,15,23.03
15,16,23.12
15,17,23.11
15,18,22.64
15,19,22.77
15,20,22.95
15,21,23.02
15,22,23.00
15,23,23.06
15,24,23.17
15,25,23.18
15,26,23.23
15,27,23.25
15,28,23.74
15,29,23.10
15,30,23.23
15,31,23.97
16,0,23.32
16,1,23.82
16,2,23.12
16,3,23.03
16,4,22.83
16,5,23.20
16,6,22.82
16,7,22.91
16,8,22.86
16,9,23.00
16,10,22.68
16,11,23.24
16,12,22.94
16,13,22.93
16,14,22.85
16,15,23.11
16,16,22.90
16,17,23.00
16,18,22.98
16,19,22.78
16,20,22.69
16,21,23.05
16,22,22.79
16,23,23.25
16,24,23.03
16,25,23.10
16,26,23.26
16,27,23.33
16,28,23.25
16,29,24.24
16,30,23.47
16,31,23.90
17,0,23.70
17,1,23.28
17,2,23.38
17,3,23.18
17,4,23.14
17,5,23.10
17,6,23.25
17,7,22.87
17,8,22.98
17,9,23.01
17,10,23.06
17,11,23.08
17,12,23.12
17,13,22.94
17,14,22.97
17,15,23.17
17,16,23.04
17,17,22.95
17,18,22.91
17,19,23.07
17,20,23.07
17,21,23.07
17,22,22.97
17,23,22.92
17,24,22.75
17,25,23.24
17,26,23.00
17,27,23.28
17,28,23.13
17,29,23.27
17,30,23.88
17,31,23.75
18,0,23.38
18,1,23.76
18,2,23.55
18,3,23.42
18,4,23.35
18,5,23.49
18,6,23.30
18,7,23.26
18,8,23.14
18,9,23.22
18,10,23.19
18,11,23.50
18,12,23.36
18,13,23.46
18,14,23.48
18,15,23.40
18,16,23.13
18,17,23.18
18,18,22.99
18,19,23.23
18,20,23.46
18,21,23.64
18,22,23.23
18,23,23.23
18,24,22.90
18,25,23.19
18,26,23.23
18,27,22.98
18,28,23.24
18,29,23.54
18,30,23.20
18,31,24.25
19,0,23.80
19,1,23.56
19,2,23.31
19,3,23.73
19,4,23.38
19,5,23.20
19,6,23.15
19,7,23.41
19,8,23.27
19,9,23.58
19,10,23.83
19,11,23.73
19,12,23.79
19,13,23.94
19,14,23.94
19,15,23.84
19,16,23.75
19,17,23.43
19,18,23.10
19,19,23.00
19,20,23.29
19,21,23.42
19,22,23.09
19,23,23.04
19,24,22.89
19,25,23.28
19,26,23.14
19,27,23.27
19,28,23.02
19,29,23.09
19,30,23.80
19,31,23.64
20,0,23.70
20,1,23.67
20,2,23.53
20,3,23.51
20,4,23.53
20,5,23.56
20,6,23.92
20,7,24.04
20,8,24.18
20,9,24.96
20,10,24.49
20,11,24.41
20,12,24.51
20,13,24.31
20,14,24.22
20,15,24.33
20,16,24.16
20,17,24.08
20,18,24.04
20,19,23.76
20,20,23.24
20,21,23.52
20,22,23.37
20,23,23.38
20,24,23.28
20,25,23.60
20,26,22.91
20,27,23.29
20,28,23.01
20,29,23.62
20,30,23.34
20,31,24.00
21,0,23.27
21,1,23.59
21,2,23.43
21,3,23.98
21,4,23.61
21,5,23.94
21,6,24.20
21,7,24.39
21,8,24.46
21,9,24.77
21,10,24.58
21,11,24.67
21,12,24.42
21,13,24.32
21,14,24.05
21,15,23.97
21,16,24.16
21,17,24.08
21,18,24.34
21,19,23.66
21,20,23.39
21,21,23.21
