Linha,Coluna,Temperatura_C
0,0,22.82
0,1,23.30
0,2,23.08
0,3,23.23
0,4,22.56
0,5,23.07
0,6,22.78
0,7,23.30
0,8,22.63
0,9,23.04
0,10,22.43
0,11,22.92
0,12,22.51
0,13,22.98
0,14,22.84
0,15,23.01
0,16,22.57
0,17,23.67
0,18,23.72
0,19,24.41
0,20,24.21
0,21,24.95
0,22,25.53
0,23,26.34
0,24,26.32
0,25,26.83
0,26,27.38
0,27,27.63
0,28,27.12
0,29,27.38
0,30,26.19
0,31,23.03
1,0,24.10
1,1,23.34
1,2,22.95
1,3,22.74
1,4,23.12
1,5,23.10
1,6,23.34
1,7,22.48
1,8,23.04
1,9,22.73
1,10,23.09
1,11,23.07
1,12,23.02
1,13,22.70
1,14,22.87
1,15,22.62
1,16,22.66
1,17,23.71
1,18,23.86
1,19,24.07
1,20,24.26
1,21,24.69
1,22,25.63
1,23,25.98
1,24,26.40
1,25,26.68
1,26,27.25
1,27,26.79
1,28,27.55
1,29,27.31
1,30,27.26
1,31,24.15
2,0,23.07
2,1,23.43
2,2,22.93
2,3,23.42
2,4,22.83
2,5,23.34
2,6,22.68
2,7,22.97
2,8,23.06
2,9,22.97
2,10,22.97
2,11,22.70
2,12,22.85
2,13,23.07
2,14,22.65
2,15,22.98
2,16,22.70
2,17,23.09
2,18,23.15
2,19,24.04
2,20,24.27
2,21,24.34
2,22,24.47
2,23,25.73
2,24,25.94
2,25,27.08
2,26,27.03
2,27,27.72
2,28,27.15
2,29,27.73
2,30,27.21
2,31,23.37
3,0,23.80
3,1,23.06
3,2,23.11
3,3,23.15
3,4,23.40
3,5,23.05
3,6,23.09
3,7,23.07
3,8,22.92
3,9,22.87
3,10,23.08
3,11,22.75
3,12,22.81
3,13,22.86
3,14,22.94
3,15,22.96
3,16,22.73
3,17,22.92
3,18,23.51
3,19,24.11
3,20,24.12
3,21,24.09
3,22,24.17
3,23,25.58
3,24,26.05
3,25,26.48
3,26,26.69
3,27,27.01
3,28,27.53
3,29,27.42
3,30,27.28
3,31,23.75
4,0,23.47
4,1,23.29
4,2,22.99
4,3,22.86
4,4,22.84
4,5,23.02
4,6,23.10
4,7,22.84
4,8,22.91
4,9,22.76
4,10,22.76
4,11,22.97
4,12,22.62
4,13,22.97
4,14,23.01
4,15,22.89
4,16,22.80
4,17,22.91
4,18,22.80
4,19,23.84
4,20,23.68
4,21,23.81
4,22,23.75
4,23,24.80
4,24,25.47
4,25,26.19
4,26,26.84
4,27,27.05
4,28,26.87
4,29,27.86
4,30,27.46
4,31,23.19
5,0,23.59
5,1,23.46
5,2,23.27
5,3,22.82
5,4,23.05
5,5,23.30
5,6,23.05
5,7,22.87
5,8,23.21
5,9,22.83
5,10,23.08
5,11,22.93
5,12,22.84
5,13,22.78
5,14,22.91
5,15,22.87
5,16,22.80
5,17,23.11
5,18,22.99
5,19,23.70
5,20,23.83
5,21,23.88
5,22,23.55
5,23,24.23
5,24,25.06
5,25,26.21
5,26,26.48
5,27,27.03
5,28,27.37
5,29,26.94
5,30,27.39
5,31,23.28
6,0,23.40
6,1,23.66
6,2,23.18
6,3,22.98
6,4,22.89
6,5,23.26
6,6,23.04
6,7,23.73
6,8,23.21
6,9,23.17
6,10,23.04
6,11,23.06
6,12,22.74
6,13,23.25
6,14,22.85
6,15,22.94
6,16,22.66
6,17,22.78
6,18,22.91
6,19,23.58
6,20,23.31
6,21,23.31
6,22,23.34
6,23,24.01
6,24,24.25
6,25,26.23
6,26,26.30
6,27,26.85
6,28,26.84
6,29,27.44
6,30,27.66
6,31,23.56
7,0,23.06
7,1,23.66
7,2,23.35
7,3,22.78
7,4,23.09
7,5,22.88
7,6,22.99
7,7,23.34
7,8,23.25
7,9,22.93
7,10,23.37
7,11,22.77
7,12,23.23
7,13,23.21
7,14,23.02
7,15,22.85
7,16,22.85
7,17,22.68
7,18,22.64
7,19,23.05
7,20,23.22
7,21,23.43
7,22,23.16
7,23,23.60
7,24,24.29
7,25,26.21
7,26,26.10
7,27,26.44
7,28,27.07
7,29,27.32
7,30,27.20
7,31,23.24
8,0,22.98
8,1,23.40
8,2,22.66
8,3,22.96
8,4,23.02
8,5,23.02
8,6,22.87
8,7,22.97
8,8,22.84
8,9,23.12
8,10,22.86
8,11,23.02
8,12,22.74
8,13,23.03
8,14,22.95
8,15,23.06
8,16,22.62
8,17,22.86
8,18,22.55
8,19,22.75
8,20,22.70
8,21,23.35
8,22,23.02
8,23,23.53
8,24,23.52
8,25,25.75
8,26,25.94
8,27,26.67
8,28,26.45
8,29,26.95
8,30,27.51
8,31,23.27
9,0,23.39
9,1,23.19
9,2,23.11
9,3,22.81
9,4,22.90
9,5,22.91
9,6,22.72
9,7,22.73
9,8,22.87
9,9,23.12
9,10,22.92
9,11,22.94
9,12,22.88
9,13,23.10
9,14,23.01
9,15,22.74
9,16,23.03
9,17,22.68
9,18,22.73
9,19,22.72
9,20,23.16
9,21,23.10
9,22,22.91
9,23,23.39
9,24,23.41
9,25,25.32
9,26,25.74
9,27,26.21
9,28,26.67
9,29,26.70
9,30,27.28
9,31,23.59
10,0,23.23
10,1,23.30
10,2,22.85
10,3,23.19
10,4,22.74
10,5,22.99
10,6,22.96
10,7,23.04
10,8,22.76
10,9,23.06
10,10,22.82
10,11,23.21
10,12,22.95
10,13,23.04
10,14,22.94
10,15,23.14
10,16,22.80
10,17,23.06
10,18,22.82
10,19,22.91
10,20,22.78
10,21,23.08
10,22,23.01
10,23,23.03
10,24,23.07
10,25,24.27
10,26,24.82
10,27,25.68
10,28,25.25
10,29,26.25
10,30,25.53
10,31,23.37
11,0,23.64
11,1,23.46
11,2,22.98
11,3,22.97
11,4,23.06
11,5,23.01
11,6,22.96
11,7,22.93
11,8,22.93
11,9,23.08
11,10,22.87
11,11,22.88
11,12,22.93
11,13,22.95
11,14,22.95
11,15,23.01
11,16,23.10
11,17,22.84
11,18,22.88
11,19,22.67
11,20,23.27
11,21,22.98
11,22,23.04
11,23,22.88
11,24,23.22
11,25,23.21
11,26,23.73
11,27,23.76
11,28,24.10
11,29,24.41
11,30,24.29
11,31,23.83
12,0,23.18
12,1,23.08
12,2,22.75
12,3,22.96
12,4,22.79
12,5,22.96
12,6,22.59
12,7,23.20
12,8,22.83
12,9,22.96
12,10,22.87
12,11,23.08
12,12,22.92
12,13,23.13
12,14,22.84
12,15,23.05
12,16,22.79
12,17,22.77
12,18,22.73
12,19,23.03
12,20,22.63
12,21,22.93
12,22,23.03
12,23,23.10
12,24,23.04
12,25,23.15
12,26,23.23
12,27,23.53
12,28,23.31
12,29,23.71
12,30,23.56
12,31,23.42
13,0,23.49
13,1,22.73
13,2,23.07
13,3,22.85
13,4,23.04
13,5,22.82
13,6,22.93
13,7,22.88
13,8,23.01
13,9,23.01
13,10,22.82
13,11,22.88
13,12,22.94
13,13,22.82
13,14,23.07
13,15,23.05
13,16,22.87
13,17,22.98
13,18,22.96
13,19,22.85
13,20,22.83
13,21,23.04
13,22,23.09
13,23,22.87
13,24,23.18
13,25,23.07
13,26,23.37
13,27,22.72
13,28,23.30
13,29,23.65
13,30,23.75
13,31,23.74
14,0,23.41
14,1,23.12
14,2,22.47
14,3,22.79
14,4,22.82
14,5,23.07
14,6,22.85
14,7,23.17
14,8,23.01
14,9,23.14
14,10,23.12
14,11,23.17
14,12,22.80
14,13,22.97
14,14,22.87
14,15,23.05
14,16,22.98
14,17,22.76
14,18,22.64
14,19,22.58
14,20,22.54
14,21,23.03
14,22,22.76
14,23,23.13
14,24,22.89
14,25,23.20
14,26,23.08
14,27,23.39
14,28,23.31
14,29,23.71
14,30,23.47
14,31,23.30
15,0,23.59
15,1,23.52
15,2,23.38
15,3,22.75
15,4,23.01
15,5,23.06
15,6,22.91
15,7,22.71
15,8,22.97
15,9,22.98
15,10,22.85
15,11,22.87
15,12,22.86
15,13,23.01
15,14,22.97
15,15,22.56
15,16,23.00
15,17,22.92
15,18,22.74
15,19,22.60
15,20,22.80
15,21,22.52
15,22,22.70
15,23,23.00
15,24,23.47
15,25,23.10
15,26,23.15
15,27,23.24
15,28,23.36
15,29,23.55
15,30,23.41
15,31,23.34
16,0,22.98
16,1,23.30
16,2,23.13
16,3,22.97
16,4,22.86
16,5,22.85
16,6,22.78
16,7,23.11
16,8,22.93
16,9,22.97
16,10,23.11
16,11,22.79
16,12,22.84
16,13,23.02
16,14,23.02
16,15,23.02
16,16,22.70
16,17,22.92
16,18,22.89
16,19,23.01
16,20,23.02
16,21,23.05
16,22,22.92
16,23,23.10
16,24,22.98
16,25,22.79
16,26,22.94
16,27,23.61
16,28,23.00
16,29,23.29
16,30,23.31
16,31,23.59
17,0,23.54
17,1,23.20
17,2,23.00
17,3,22.88
17,4,23.08
17,5,22.99
17,6,22.90
17,7,22.87
17,8,23.09
17,9,22.79
17,10,23.03
17,11,22.92
17,12,23.05
17,13,22.95
17,14,23.07
17,15,22.90
17,16,23.04
17,17,22.78
17,18,22.66
17,19,22.83
17,20,23.13
17,21,23.08
17,22,22.80
17,23,22.88
17,24,22.85
17,25,22.94
17,26,22.96
17,27,23.02
17,28,23.46
17,29,23.29
17,30,23.25
17,31,23.95
18,0,23.05
18,1,23.70
18,2,23.30
18,3,23.38
18,4,23.28
18,5,23.39
18,6,23.18
18,7,23.31
18,8,23.06
18,9,23.12
18,10,22.98
18,11,23.07
18,12,23.21
18,13,23.51
18,14,23.32
18,15,23.35
18,16,23.07
18,17,23.15
18,18,22.95
18,19,23.22
18,20,23.04
18,21,23.26
18,22,23.18
18,23,22.88
18,24,22.67
18,25,23.29
18,26,23.07
18,27,23.46
18,28,23.02
18,29,23.41
18,30,23.08
18,31,23.80
19,0,23.83
19,1,23.37
19,2,23.24
19,3,23.32
19,4,23.22
19,5,23.36
19,6,23.17
19,7,23.25
19,8,23.44
19,9,23.49
19,10,23.43
19,11,23.79
19,12,24.05
19,13,24.01
19,14,24.00
19,15,23.70
19,16,23.90
19,17,23.32
19,18,23.29
19,19,23.11
19,20,23.21
19,21,23.27
19,22,23.28
19,23,22.81
19,24,23.17
19,25,23.14
19,26,22.75
19,27,22.32
19,28,23.42
19,29,22.81
19,30,23.54
19,31,23.75
20,0,23.40
20,1,23.19
20,2,23.17
20,3,23.53
20,4,23.25
20,5,23.77
20,6,23.97
20,7,24.04
20,8,24.14
20,9,24.80
20,10,24.65
20,11,24.82
20,12,24.70
20,13,24.62
20,14,24.42
20,15,24.51
20,16,24.35
20,17,24.42
20,18,23.75
20,19,23.71
20,20,23.18
20,21,23.52
20,22,23.84
20,23,23.32
20,24,22.71
20,25,23.36
20,26,23.22
20,27,23.11
20,28,22.98
20,29,23.19
20,30,23.45
20,31,23.41
21,0,23.19
21,1,23.46
21,2,23.55
21,3,23.74
21,4,23.63
21,5,24.17
21,6,24.28
21,7,24.51
21,8,24.80
21,9,24.96
21,10,24.55
21,11,24.59
21,12,24.54
21,13,24.45
21,14,24.18
21,15,24.28
21,16,24.08
21,17,24.02
21,18,24.17
21,19,23.40
21,20,23.47
21,21,23.59
21,22,23.51
21,23,23.26
21,24,23.34
21,25,22.92
21,26,23.44
21,27,22.99
21,28,23.27
21,29,23.08
21,30,23.11
21,31,23.13
22,0,23.23
22,1,23.85
22,2,23.96
22,3,24.64
22,4,24.47
22,5,25.28
22,6,25.15
22,7,24.92
22,8,24.43
22,9,24.74
22,10,24.45
22,11,24.36
22,12,23.75
22,13,23.82
22,14,23.77
22,15,23.49
22,16,23.59
22,17,24.10
22,18,24.10
22,19,23.84
22,20,23.42
22,21,23.68
22,22,23.44
22,23,23.45
22,24,23.18
22,25,23.54
22,26,23.36
22,27,24.00
22,28,23.48
22,29,23.09
22,30,23.08
22,31,23.62
23,0,23.85
23,1,24.05
23,2,24.63
23,3,25.11
