Linha,Coluna,19-11-25 22:50,19-11-25 23:50
7,6,30.27,27.19
7,7,30.53,27.16
7,8,30.64,26.80
7,9,30.79,27.12
7,10,31.44,26.84
7,11,31.10,27.04
7,12,32.08,27.16
7,13,30.89,27.05
7,14,32.48,27.20
7,15,31.07,27.51
7,16,31.65,27.39
7,17,30.75,27.55
7,18,30.95,27.02
7,19,30.33,26.76
7,20,30.67,26.56
7,21,28.06,26.73
7,22,30.67,26.26
7,23,26.93,26.28
7,24,30.35,26.11
7,25,26.15,26.47
7,26,29.59,26.56
7,27,26.34,26.79
7,28,27.89,26.65
7,29,27.12,27.01
7,30,27.05,26.53
7,31,27.14,26.66
8,0,33.05,27.12
8,1,29.04,27.01
8,2,32.76,27.42
8,3,29.09,26.59
8,4,31.55,27.26
8,5,29.24,27.48
8,6,29.92,27.66
8,7,29.37,27.11
8,8,30.09,27.67
8,9,29.29,27.16
8,10,31.17,27.94
8,11,30.24,27.49
8,12,31.05,27.93
8,13,31.50,27.62
8,14,31.15,28.04
8,15,31.01,27.69
8,16,31.08,28.00
8,17,30.44,27.65
8,18,30.74,26.47
8,19,31.08,26.15
8,20,28.27,26.53
8,21,30.87,26.36
8,22,26.75,26.04
8,23,30.89,26.01
8,24,26.24,26.07
8,25,30.09,25.83
8,26,26.21,26.81
8,27,29.40,26.58
8,28,26.61,26.91
8,29,27.42,26.68
8,30,27.08,26.79
8,31,26.91,26.31
9,0,29.03,27.17
9,1,32.77,26.97
9,2,29.06,27.14
9,3,32.52,27.11
9,4,28.91,27.55
9,5,30.61,27.37
9,6,29.14,27.20
9,7,29.23,27.38
9,8,28.92,27.06
9,9,30.08,27.24
9,10,28.94,27.54
9,11,30.99,27.81
9,12,30.59,27.76
9,13,31.27,28.00
9,14,30.52,28.01
9,15,31.45,28.27
9,16,29.54,27.68
9,17,31.36,27.92
9,18,31.02,26.98
9,19,30.09,26.90
9,20,30.81,26.27
9,21,27.76,26.36
9,22,31.09,25.85
9,23,26.37,26.20
9,24,30.46,26.24
9,25,26.22,25.84
9,26,30.07,26.21
9,27,26.18,26.89
9,28,28.22,26.50
9,29,26.70,26.69
9,30,26.44,26.52
9,31,26.82,26.57
10,0,33.01,27.32
10,1,28.39,26.89
10,2,32.61,27.20
10,3,28.82,26.97
10,4,30.68,27.10
10,5,28.61,27.01
10,6,28.22,27.12
10,7,28.93,27.05
10,8,29.15,27.06
10,9,28.66,27.39
10,10,30.93,27.99
10,11,29.27,27.73
10,12,31.25,27.93
10,13,29.80,27.84
10,14,31.74,28.04
10,15,27.80,27.91
10,16,32.28,27.93
10,17,29.70,27.79
10,18,30.09,27.45
10,19,31.10,27.05
10,20,27.45,27.35
10,21,30.72,26.42
10,22,26.60,26.64
10,23,31.01,25.89
10,24,26.15,26.19
10,25,30.47,25.97
10,26,26.16,26.94
10,27,29.80,26.63
10,28,26.22,27.04
10,29,27.44,26.33
10,30,26.82,27.31
10,31,26.38,25.98
11,0,28.20,27.20
11,1,32.89,27.19
11,2,28.79,27.17
11,3,32.29,27.00
11,4,28.85,27.53
11,5,29.12,27.36
11,6,28.90,27.09
11,7,27.47,27.30
11,8,28.65,27.12
11,9,29.25,27.48
11,10,28.95,27.96
11,11,30.94,28.15
11,12,29.39,27.88
11,13,31.22,27.73
11,14,27.93,27.40
11,15,32.08,27.66
11,16,28.06,27.77
11,17,31.45,27.78
11,18,30.45,27.56
11,19,28.93,27.55
11,20,30.84,27.12
11,21,26.77,27.18
11,22,31.29,26.44
11,23,26.33,26.39
11,24,30.70,26.00
11,25,25.94,26.32
11,26,29.88,26.45
11,27,26.04,27.19
11,28,27.91,26.83
11,29,26.19,26.76
11,30,26.88,26.19
11,31,26.93,26.55
12,0,32.73,26.92
12,1,28.74,27.25
12,2,32.27,27.49
12,3,29.02,27.16
12,4,29.30,27.49
12,5,29.26,27.44
12,6,27.10,27.29
12,7,29.30,27.07
12,8,27.26,27.61
12,9,28.61,27.62
12,10,27.95,27.93
12,11,28.51,27.74
12,12,29.21,27.76
12,13,28.12,27.41
12,14,31.67,27.60
12,15,26.68,27.53
12,16,32.51,28.03
12,17,27.56,27.69
12,18,29.64,27.77
12,19,29.62,27.61
12,20,27.10,27.02
12,21,30.67,26.68
12,22,26.44,26.56
12,23,31.21,25.85
12,24,26.14,26.91
12,25,31.09,26.84
12,26,25.90,26.93
12,27,29.30,26.78
12,28,25.82,26.81
12,29,27.21,26.77
12,30,26.56,26.74
12,31,26.64,26.67
13,0,28.14,27.19
13,1,32.49,27.24
13,2,28.98,27.09
13,3,31.49,27.61
13,4,29.46,27.88
13,5,27.25,27.79
13,6,29.06,27.04
13,7,26.54,27.24
13,8,28.67,27.46
13,9,26.80,27.51
13,10,28.25,27.62
13,11,26.81,27.67
13,12,27.82,27.44
13,13,29.13,27.84
13,14,26.54,27.60
13,15,31.62,27.67
13,16,26.80,28.05
13,17,31.99,27.95
13,18,28.50,27.68
13,19,29.41,27.63
13,20,29.74,26.65
13,21,26.95,26.65
13,22,30.59,26.60
13,23,26.51,26.62
13,24,31.47,27.19
13,25,25.92,27.26
13,26,29.89,26.92
13,27,26.00,27.10
13,28,27.47,26.87
13,29,26.06,26.90
13,30,26.60,26.62
13,31,26.82,26.91
14,0,32.20,27.42
14,1,28.63,27.28
14,2,31.92,27.61
14,3,29.23,27.69
14,4,27.37,27.80
14,5,29.22,27.42
14,6,26.40,27.33
14,7,28.90,27.62
14,8,26.55,27.89
14,9,28.40,27.51
14,10,26.74,27.69
14,11,27.65,27.53
14,12,28.39,28.13
14,13,26.67,27.74
14,14,31.01,27.99
14,15,26.37,27.98
14,16,32.83,27.59
14,17,26.53,27.53
14,18,30.69,27.03
14,19,28.17,26.72
14,20,28.05,26.68
14,21,29.04,26.62
14,22,26.45,26.68
14,23,30.74,26.56
14,24,26.06,27.99
14,25,31.35,27.55
14,26,26.10,26.93
14,27,29.20,26.72
14,28,26.39,27.07
14,29,26.95,26.92
14,30,26.35,26.89
14,31,26.53,26.95
15,0,28.42,27.31
15,1,32.34,27.13
