N,temp_ar_C,umid_ar_pct,temp_solo_C,umid_solo_pct
159,27.3,-1.0,-1.0,100.0
160,27.3,-1.0,-1.0,100.0
161,27.3,-1.0,-1.0,97.3
162,27.3,-1.0,-1.0,98.7
163,27.3,-1.0,-1.0,92.1
164,27.3,-1.0,-1.0,97.2
165,27.3,-1.0,-1.0,96.9
166,27.3,-1.0,-1.0,91.5
167,27.3,-1.0,-1.0,94.6
168,27.3,-1.0,-1.0,98.3
169,27.3,-1.0,-1.0,96.1
170,27.3,-1.0,-1.0,99.1
171,27.3,-1.0,-1.0,93.4
172,27.3,-1.0,-1.0,92.5
173,27.4,-1.0,-1.0,90.8
174,27.4,-1.0,-1.0,95.7
175,27.3,-1.0,-1.0,94.1
176,27.3,-1.0,-1.0,97.8
177,27.4,-1.0,-1.0,93.8
178,27.4,-1.0,-1.0,90.6
179,27.4,-1.0,-1.0,92.7
180,27.4,-1.0,-1.0,94.1
181,27.4,-1.0,-1.0,94.0
182,27.4,-1.0,-1.0,95.0
183,27.4,-1.0,-1.0,90.9
184,27.4,-1.0,-1.0,92.5
185,27.4,-1.0,-1.0,96.5
186,27.4,-1.0,-1.0,96.9
187,27.4,-1.0,-1.0,96.6
188,27.4,-1.0,-1.0,99.1
189,27.4,-1.0,-1.0,98.6
190,27.4,-1.0,-1.0,99.4
191,27.4,-1.0,-1.0,98.9
192,27.5,-1.0,-1.0,99.3
193,27.4,-1.0,-1.0,98.4
194,27.4,-1.0,-1.0,98.9
195,27.4,-1.0,-1.0,96.3
196,27.6,-1.0,-1.0,0.0
197,27.6,-1.0,-1.0,0.0
198,27.7,-1.0,-1.0,0.0
199,27.8,-1.0,-1.0,0.0
200,27.8,-1.0,-1.0,0.0
201,27.8,-1.0,-1.0,0.0
202,27.8,-1.0,-1.0,0.0
203,27.9,-1.0,-1.0,0.0
204,27.9,-1.0,-1.0,0.0
205,27.9,-1.0,-1.0,91.6
206,28.0,-1.0,-1.0,92.0
207,28.0,-1.0,-1.0,89.3
208,28.0,-1.0,-1.0,89.4
209,28.1,-1.0,-1.0,90.1
